State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Year_Built,Nearby_Schools,Nearby_Hospitals,Furnished_Status,Parking_Space,Floor,Total_Floors,Facing,Owner_Type,Availability_Status,Security,Amenities,Public_Transport_Accessibility,Price_per_SqFt,Age_of_Property,Future_Price_5Y,Good_Investment
Delhi,Chennai,Whitefield,Villa,3,1823,74.12986807479348,2021,2,3,Furnished,3,5,2,South,Second,Under Construction,Yes,Basic,Poor,4066.3668719030984,4,108.92109649177407,1
Maharashtra,Ahmedabad,Andheri,Penthouse,1,1427,474.4482970385068,2011,7,4,Unfurnished,0,5,28,East,First,Under Construction,Yes,Basic,Excellent,33247.953541591225,14,697.1202038286245,0
Maharashtra,Hyderabad,Andheri,Apartment,2,2311,274.505142954077,2013,0,3,Furnished,0,4,24,East,Second,Under Construction,Yes,Basic,Excellent,11878.197445005495,12,403.3381137684231,1
Tamil Nadu,Delhi,T Nagar,Apartment,3,2566,155.80540595979386,2013,4,6,Furnished,3,6,22,West,Second,Ready to move,Yes,"Gym, Pool",Excellent,6071.917613398045,12,228.92925749394726,1
Tamil Nadu,Chennai,T Nagar,Apartment,2,1395,188.10326246312457,2016,7,1,Unfurnished,3,22,5,East,Third+,Ready to move,Yes,"Gym, Pool, Park",Excellent,13484.104836066279,9,276.38540487474853,1
Karnataka,Delhi,Bandra,Penthouse,5,869,149.93464684263088,1999,2,6,Furnished,2,22,13,West,Third+,Ready to move,No,"Gym, Pool, Park",Poor,17253.69929144199,26,220.3031862909701,0
Delhi,Delhi,Bandra,Independent House,1,1893,308.8687082513507,2022,9,7,Unfurnished,0,18,18,North,Third+,Under Construction,Yes,"Gym, Pool, Park",Average,16316.360710583767,3,453.8294650786576,0
Delhi,Chennai,Koramangala,Villa,5,3232,466.38251637464475,2005,5,3,Semi-Furnished,0,10,23,North,Second,Under Construction,Yes,"Gym, Pool",Average,14430.152115552128,20,685.2689258379015,0
Telangana,Bangalore,Koramangala,Apartment,2,2287,431.2130255967509,2001,9,2,Furnished,1,5,17,North,Third+,Under Construction,Yes,"Gym, Pool, Park",Poor,18854.963952634494,24,633.5934055911835,0
Telangana,Ahmedabad,Andheri,Independent House,1,1923,240.9828202044692,1997,1,5,Unfurnished,1,24,6,South,Second,Ready to move,Yes,Basic,Good,12531.607914948996,28,354.082823752873,1
Telangana,Chennai,T Nagar,Villa,2,1493,416.7196939044838,2005,8,4,Unfurnished,1,8,19,East,First,Ready to move,Yes,"Gym, Pool",Good,27911.566905859596,20,612.2979464093601,1
Tamil Nadu,Chennai,Andheri,Apartment,3,1093,223.09063101263834,2011,1,5,Unfurnished,0,19,22,East,Second,Ready to move,Yes,Luxury,Average,20410.853706554284,14,327.79332781789844,0
Delhi,Hyderabad,Andheri,Villa,3,3312,141.10742756414623,2005,4,5,Furnished,3,24,17,East,Third+,Ready to move,Yes,"Gym, Pool, Park",Poor,4260.489962685575,20,207.33310516502237,1
Delhi,Chennai,T Nagar,Villa,2,3223,492.03925532788537,2009,2,1,Semi-Furnished,3,17,17,West,Third+,Ready to move,Yes,"Gym, Pool",Average,15266.498769093558,16,722.9670927410262,0
Maharashtra,Bangalore,Koramangala,Independent House,2,1793,165.86603262599448,2013,9,6,Furnished,3,7,18,West,Third+,Ready to move,Yes,Luxury,Good,9250.754747685136,12,243.7116187247986,1
Tamil Nadu,Hyderabad,Whitefield,Villa,3,2444,175.38763087371603,2002,8,1,Semi-Furnished,0,17,26,North,Third+,Under Construction,Yes,"Gym, Pool",Average,7176.253309071851,23,257.7019703661856,1
Gujarat,Mumbai,Whitefield,Apartment,2,580,495.0525765375307,2010,8,0,Furnished,3,4,15,East,First,Under Construction,No,Luxury,Average,85353.89250647082,15,727.394650198775,0
Tamil Nadu,Mumbai,Whitefield,Independent House,3,3476,84.28519671951435,2015,6,7,Furnished,1,5,23,South,First,Ready to move,Yes,Basic,Average,2424.7755097673867,10,123.84260599859373,1
Gujarat,Delhi,T Nagar,Penthouse,1,1620,385.05631424465366,2009,9,6,Furnished,3,1,28,South,Second,Ready to move,Yes,"Gym, Pool",Good,23768.908286707017,16,565.7740536687936,0
Maharashtra,Ahmedabad,Connaught Place,Penthouse,3,446,469.19012407170874,1997,4,2,Semi-Furnished,3,24,28,North,Third+,Ready to move,No,Basic,Good,105199.57938827551,28,689.3942226558374,1
Karnataka,Delhi,Connaught Place,Independent House,3,1033,265.661597252201,2018,8,5,Unfurnished,1,21,20,West,First,Ready to move,Yes,Basic,Poor,25717.48279304947,7,390.3440437701928,1
Delhi,Bangalore,Connaught Place,Penthouse,5,1563,21.210445617353617,2000,6,3,Furnished,2,23,4,West,First,Ready to move,No,Luxury,Excellent,1357.0342685446972,25,31.16510326701719,1
Maharashtra,Pune,Bandra,Villa,3,2088,200.028293174291,1997,1,3,Furnished,2,3,4,West,First,Under Construction,Yes,"Gym, Pool, Park",Good,9579.899098385584,28,293.9071873153677,1
Delhi,Ahmedabad,Koramangala,Apartment,2,1963,73.55311634471701,1999,9,7,Semi-Furnished,2,18,5,North,Third+,Ready to move,Yes,Luxury,Excellent,3746.97485199781,26,108.07365898142973,1
Telangana,Mumbai,Koramangala,Villa,1,1850,219.77007724817395,1995,0,6,Furnished,0,3,15,North,First,Ready to move,Yes,"Gym, Pool, Park",Average,11879.463635036429,30,322.914344941247,1
Karnataka,Delhi,Bandra,Independent House,3,988,399.21284558829666,2016,9,0,Unfurnished,0,15,2,East,Third+,Ready to move,Yes,Luxury,Excellent,40406.15846035391,9,586.5746426421075,1
Karnataka,Mumbai,Andheri,Apartment,3,2277,230.58154346422424,2008,9,3,Unfurnished,1,0,11,East,First,Under Construction,Yes,"Gym, Pool",Poor,10126.54999842882,17,338.79993580386434,1
Maharashtra,Bangalore,Whitefield,Independent House,4,2757,227.32405824604282,2006,3,6,Semi-Furnished,2,15,23,East,First,Under Construction,Yes,"Gym, Pool, Park",Average,8245.341249403078,19,334.01362131302943,0
Karnataka,Bangalore,Connaught Place,Independent House,3,2721,287.2589489210464,2007,9,1,Semi-Furnished,0,0,3,South,Third+,Under Construction,No,"Gym, Pool",Poor,10557.10947890652,18,422.0776389617507,1
Gujarat,Pune,Whitefield,Independent House,3,1962,299.2114806788865,2008,7,3,Unfurnished,3,23,11,South,Third+,Ready to move,Yes,Luxury,Excellent,15250.330309831117,17,439.63982946238883,1
Karnataka,Pune,Connaught Place,Villa,2,1239,431.02222822350626,2019,5,5,Unfurnished,2,16,3,East,Third+,Ready to move,Yes,Basic,Average,34787.91188244603,6,633.3130616536954,1
Delhi,Hyderabad,Whitefield,Apartment,2,1813,168.0106108298967,2006,1,3,Unfurnished,2,4,11,South,First,Under Construction,No,Luxury,Good,9266.994530054975,19,246.86270769268546,1
Delhi,Ahmedabad,Andheri,Apartment,2,2906,414.40220689664767,2017,4,1,Semi-Furnished,0,15,29,South,Second,Ready to move,Yes,"Gym, Pool",Excellent,14260.2273536355,8,608.8927976811273,1
Delhi,Bangalore,Whitefield,Apartment,1,1132,291.6481993721827,2021,8,2,Unfurnished,2,24,2,West,Second,Ready to move,Yes,Luxury,Excellent,25763.97520955678,4,428.52688788571237,0
Delhi,Delhi,Whitefield,Villa,3,2808,164.25418386423053,2007,5,5,Unfurnished,1,2,22,West,Third+,Ready to move,Yes,Basic,Average,5849.507972372882,18,241.3432840835835,1
Gujarat,Mumbai,T Nagar,Penthouse,2,1417,161.66050112291703,2018,5,2,Unfurnished,1,9,20,North,Third+,Ready to move,No,Basic,Average,11408.645103946155,7,237.53231320946,1
Tamil Nadu,Chennai,Whitefield,Villa,2,3109,193.34600821074775,2000,6,1,Furnished,0,17,20,West,Second,Ready to move,Yes,Luxury,Poor,6218.913097804689,25,284.0887184012551,1
Telangana,Pune,T Nagar,Villa,1,3146,318.89275645758823,2021,4,1,Semi-Furnished,2,20,15,East,Second,Under Construction,Yes,Luxury,Good,10136.451254214502,4,468.5580805512791,0
Maharashtra,Chennai,Koramangala,Independent House,2,1854,130.78963105277558,2015,2,5,Semi-Furnished,1,17,8,West,Third+,Ready to move,No,"Gym, Pool",Excellent,7054.456906837949,10,192.17287706015637,1
Delhi,Delhi,Bandra,Apartment,1,3332,461.7601096026884,2009,2,7,Semi-Furnished,2,16,28,South,Third+,Under Construction,Yes,Basic,Good,13858.346626731345,16,678.4770937854755,0
Karnataka,Pune,Whitefield,Apartment,3,1157,295.9580404053922,2022,4,4,Semi-Furnished,1,10,2,South,Third+,Under Construction,Yes,"Gym, Pool, Park",Good,25579.778773154037,3,434.85945832235177,1
Delhi,Chennai,Koramangala,Penthouse,2,2402,461.60757295808327,2016,3,4,Furnished,1,8,23,East,Second,Ready to move,Yes,"Gym, Pool",Good,19217.63417810505,9,678.2529674108164,1
Karnataka,Ahmedabad,T Nagar,Penthouse,3,1020,42.27409211799426,2017,4,3,Furnished,2,10,18,East,Second,Ready to move,Yes,"Gym, Pool, Park",Average,4144.518835097477,8,62.11451047019857,1
Telangana,Delhi,Whitefield,Independent House,3,2288,184.45345782150721,2010,8,5,Furnished,0,8,22,West,Second,Ready to move,Yes,Basic,Good,8061.777002688253,15,271.02264443998524,1
Telangana,Mumbai,Whitefield,Apartment,5,581,30.947677130059077,2003,4,5,Furnished,0,16,29,West,Third+,Under Construction,Yes,Basic,Poor,5326.62256971757,22,45.47229091893706,0
Telangana,Ahmedabad,Andheri,Penthouse,1,3133,150.6808712470255,2002,3,7,Furnished,0,19,21,West,First,Ready to move,Yes,"Gym, Pool",Good,4809.475622311697,23,221.39963475994045,1
Karnataka,Delhi,Koramangala,Penthouse,2,3128,433.76310668892233,1999,3,6,Semi-Furnished,2,4,8,North,Second,Under Construction,Yes,Basic,Average,13867.106991333834,26,637.3403113380277,0
Delhi,Hyderabad,Connaught Place,Apartment,2,2695,37.572663604256405,2009,0,6,Semi-Furnished,2,11,22,North,First,Ready to move,Yes,"Gym, Pool, Park",Average,1394.1619148147088,16,55.20656955389544,1
Telangana,Pune,Connaught Place,Villa,2,3067,229.35060795955752,2001,9,3,Semi-Furnished,2,17,12,East,First,Under Construction,Yes,Luxury,Good,7478.011345274128,24,336.99128770612754,1
Gujarat,Bangalore,Andheri,Penthouse,4,1720,76.43219382714933,2018,3,4,Furnished,0,24,23,West,Second,Under Construction,Yes,"Gym, Pool",Poor,4443.732199252869,7,112.3039683616502,0
Karnataka,Mumbai,T Nagar,Apartment,3,2199,220.0835164449765,2011,3,6,Unfurnished,2,24,6,South,Second,Ready to move,No,Luxury,Excellent,10008.345449976194,14,323.37488995347866,1
Karnataka,Ahmedabad,Connaught Place,Penthouse,3,2477,422.6487604469011,2010,8,3,Semi-Furnished,0,15,24,North,Second,Ready to move,Yes,Luxury,Excellent,17062.929368062218,15,621.0096903493494,1
Delhi,Ahmedabad,Connaught Place,Independent House,2,1725,319.0740960332092,2018,3,2,Semi-Furnished,1,8,2,East,Third+,Ready to move,Yes,"Gym, Pool",Poor,18497.04904540343,7,468.82452788117394,1
Karnataka,Chennai,Bandra,Penthouse,3,1899,373.6430457590831,2005,6,7,Unfurnished,0,7,12,North,First,Ready to move,Yes,"Gym, Pool, Park",Average,19675.77913423292,20,549.0042178348882,1
Karnataka,Pune,Koramangala,Apartment,1,3320,187.56997541579887,2001,0,2,Furnished,0,5,23,West,First,Under Construction,Yes,Basic,Good,5649.698054692737,24,275.60183124311914,0
Telangana,Bangalore,T Nagar,Penthouse,3,1347,473.3108936048679,2005,6,6,Unfurnished,3,16,21,South,First,Under Construction,No,Basic,Excellent,35138.15097289294,20,695.4489850289302,1
Delhi,Delhi,Whitefield,Independent House,3,1775,360.44580501416004,2022,1,7,Unfurnished,3,13,12,South,First,Under Construction,Yes,"Gym, Pool",Excellent,20306.80591629071,3,529.6131414720837,0
Telangana,Bangalore,Koramangala,Independent House,2,1384,222.46343325657483,2022,7,0,Semi-Furnished,0,20,13,East,Third+,Ready to move,Yes,"Gym, Pool, Park",Good,16073.94748963691,3,326.8717685452084,1
Telangana,Pune,T Nagar,Penthouse,2,2764,224.70310410898637,1996,0,4,Semi-Furnished,3,23,9,North,Second,Ready to move,No,"Gym, Pool",Excellent,8129.634736215136,29,330.16257981144724,1
Delhi,Pune,Connaught Place,Penthouse,4,3184,460.96840541278283,1996,9,2,Furnished,2,13,15,West,Second,Ready to move,Yes,"Gym, Pool",Excellent,14477.650923768304,29,677.3138205907271,0
Maharashtra,Hyderabad,Bandra,Independent House,1,1820,296.6742528489881,2022,2,6,Unfurnished,3,3,11,West,Third+,Ready to move,No,Basic,Average,16300.783123570774,3,435.91180937468073,0
Telangana,Hyderabad,Koramangala,Independent House,1,2615,359.06202075346005,2000,7,0,Furnished,3,7,9,South,Second,Ready to move,Yes,"Gym, Pool",Excellent,13730.861214281456,25,527.5799084056033,0
Gujarat,Bangalore,Connaught Place,Villa,2,3190,220.17690776632196,1997,9,7,Unfurnished,3,21,24,South,First,Under Construction,Yes,"Gym, Pool, Park",Excellent,6902.097422141755,28,323.51211244406096,1
Gujarat,Delhi,T Nagar,Villa,2,525,127.37252708706278,1995,7,1,Semi-Furnished,0,16,8,West,Third+,Under Construction,Yes,"Gym, Pool, Park",Average,24261.433730869103,30,187.15203026198992,0
Karnataka,Bangalore,Koramangala,Independent House,3,3020,367.30846015732095,2018,4,6,Unfurnished,1,0,20,West,Third+,Under Construction,Yes,"Gym, Pool, Park",Excellent,12162.531793288774,7,539.6966333553261,1
Gujarat,Pune,Whitefield,Penthouse,3,519,311.7554106278662,2017,4,5,Furnished,1,2,28,North,First,Ready to move,Yes,"Gym, Pool, Park",Average,60068.479889762275,8,458.07097792983706,1
Karnataka,Pune,Koramangala,Apartment,3,1851,260.6445826038941,2014,7,2,Unfurnished,1,16,24,East,Third+,Ready to move,Yes,Basic,Good,14081.284851642036,11,382.9724032857186,1
Maharashtra,Chennai,Connaught Place,Penthouse,2,1408,319.53005119734263,2010,9,0,Furnished,1,19,18,North,First,Under Construction,Yes,Basic,Excellent,22693.89568162945,15,469.49447560559713,0
Delhi,Hyderabad,Koramangala,Penthouse,3,1613,119.97708131083215,2008,4,3,Unfurnished,1,2,11,North,Third+,Ready to move,No,Basic,Excellent,7438.132753306395,17,176.2856941425223,1
Delhi,Chennai,Whitefield,Villa,4,1851,401.090579135339,2011,8,6,Semi-Furnished,1,6,5,West,Second,Under Construction,Yes,Basic,Poor,21668.85894842458,14,589.3336492635261,0
Delhi,Mumbai,Bandra,Villa,2,3007,475.11814640974677,2012,0,5,Semi-Furnished,0,10,4,North,First,Ready to move,No,"Gym, Pool, Park",Poor,15800.403937803352,13,698.1044323170144,0
Gujarat,Pune,Bandra,Villa,2,1096,447.7295092004973,2019,4,0,Furnished,2,24,21,North,Second,Under Construction,Yes,"Gym, Pool, Park",Poor,40851.23259128625,6,657.8615386801749,0
Maharashtra,Chennai,Connaught Place,Independent House,4,2670,174.28915774736822,1998,2,2,Semi-Furnished,2,14,5,North,Third+,Under Construction,Yes,"Gym, Pool",Average,6527.683810762855,27,256.08795296003245,0
Gujarat,Bangalore,T Nagar,Independent House,1,1915,214.8827711753964,1997,2,3,Unfurnished,1,6,21,South,Third+,Ready to move,Yes,"Gym, Pool",Excellent,11221.032437357515,28,315.73328890859983,1
Gujarat,Hyderabad,Connaught Place,Penthouse,2,1434,408.03310390282934,2002,1,6,Unfurnished,3,4,7,East,Third+,Under Construction,No,Basic,Excellent,28454.191346082942,23,599.534495828279,0
Maharashtra,Hyderabad,Bandra,Penthouse,1,3240,305.6562227958098,1998,2,7,Semi-Furnished,3,16,17,East,Third+,Ready to move,Yes,"Gym, Pool",Poor,9433.83403690771,27,449.10927000251974,1
Maharashtra,Delhi,Andheri,Apartment,1,1935,282.9989329647916,2017,6,3,Furnished,0,4,29,South,Third+,Ready to move,Yes,Basic,Average,14625.267853477602,8,415.81827790960955,0
Maharashtra,Bangalore,Andheri,Penthouse,1,1213,464.7881444160537,2009,7,0,Unfurnished,1,0,18,West,Second,Under Construction,Yes,Basic,Poor,38317.24191393682,16,682.9262703542811,0
Maharashtra,Delhi,Koramangala,Penthouse,2,709,277.2919812689844,2007,7,6,Furnished,1,21,23,West,First,Under Construction,Yes,Basic,Excellent,39110.29354992727,18,407.4328935500186,1
Delhi,Chennai,Whitefield,Villa,3,1411,267.17056620190874,2008,7,7,Unfurnished,3,23,1,East,Third+,Under Construction,No,Luxury,Average,18934.838143296154,17,392.5612142150178,0
Tamil Nadu,Ahmedabad,Koramangala,Villa,2,3196,40.168923807852636,2008,0,0,Furnished,1,6,16,East,Third+,Ready to move,Yes,"Gym, Pool",Poor,1256.8499314096568,17,59.02132756571787,1
Tamil Nadu,Mumbai,Andheri,Villa,4,1457,53.320140123266064,1999,6,2,Furnished,1,16,9,West,Third+,Ready to move,Yes,"Gym, Pool",Excellent,3659.5840853305467,26,78.34477894202507,1
Maharashtra,Bangalore,Bandra,Villa,2,1418,23.561747782712086,1999,1,3,Unfurnished,3,7,12,North,Second,Under Construction,Yes,Basic,Poor,1661.6183203605137,26,34.619937555619025,1
Tamil Nadu,Bangalore,Koramangala,Villa,5,2928,458.3572283761441,2021,9,4,Unfurnished,2,11,19,East,Third+,Ready to move,No,"Gym, Pool, Park",Good,15654.276925414757,4,673.4771448572985,0
Tamil Nadu,Bangalore,Connaught Place,Apartment,5,3021,216.0255968084963,2016,3,6,Furnished,2,24,11,North,Third+,Under Construction,Yes,Luxury,Average,7150.797643445757,9,317.4124746982002,0
Maharashtra,Delhi,Whitefield,Apartment,3,1224,244.909460544038,2022,4,7,Unfurnished,0,1,6,East,Third+,Ready to move,Yes,"Gym, Pool",Good,20008.942854905064,3,359.852346651297,1
Tamil Nadu,Chennai,Connaught Place,Apartment,4,2444,425.78573484438175,2007,0,0,Semi-Furnished,3,16,4,South,First,Under Construction,Yes,"Gym, Pool, Park",Good,17421.67491179958,18,625.6189349077704,0
Gujarat,Bangalore,Whitefield,Villa,3,1516,312.4382289803734,1998,3,4,Unfurnished,0,21,16,East,First,Under Construction,Yes,Basic,Average,20609.381858863682,27,459.0742621065303,0
Karnataka,Ahmedabad,Bandra,Independent House,4,1027,312.5607662674789,2012,3,6,Furnished,1,19,3,South,Third+,Under Construction,Yes,Basic,Good,30434.349198391326,13,459.2543095829293,0
Karnataka,Bangalore,Koramangala,Villa,2,1556,162.33652609030997,2000,8,4,Unfurnished,3,13,8,North,First,Under Construction,Yes,"Gym, Pool",Poor,10432.938694749999,25,238.52561567466827,1
Maharashtra,Hyderabad,Whitefield,Villa,2,3291,420.27601948376923,2023,8,6,Unfurnished,2,22,16,West,Third+,Ready to move,Yes,"Gym, Pool",Excellent,12770.465496316294,2,617.5233554332463,1
Delhi,Mumbai,Connaught Place,Apartment,3,1388,99.59838849895702,1999,9,6,Furnished,1,2,29,North,Third+,Ready to move,No,Luxury,Average,7175.676404823993,26,146.3427086255518,1
Maharashtra,Hyderabad,Koramangala,Villa,2,2866,45.51180424301499,1997,0,3,Unfurnished,2,18,2,North,First,Ready to move,Yes,"Gym, Pool",Poor,1587.9903783326936,28,66.87177180008733,1
Delhi,Hyderabad,Koramangala,Apartment,4,1891,111.9696116088955,2014,7,2,Furnished,2,13,13,North,First,Ready to move,Yes,Luxury,Excellent,5921.18517233715,11,164.52009408534144,1
Karnataka,Mumbai,Connaught Place,Villa,4,2228,148.51386501179104,1997,3,4,Furnished,0,7,19,South,Third+,Ready to move,Yes,Basic,Good,6665.792864083979,28,218.21559165590983,1
Maharashtra,Ahmedabad,Andheri,Penthouse,2,2477,155.50930777001923,1997,3,2,Furnished,3,6,24,East,First,Under Construction,Yes,"Gym, Pool, Park",Average,6278.131117077885,28,228.49419211022175,1
Telangana,Chennai,Whitefield,Independent House,4,2392,341.8465273370084,2014,4,7,Furnished,3,4,16,West,First,Ready to move,Yes,"Gym, Pool, Park",Good,14291.242781647508,11,502.2847005728454,0
Gujarat,Hyderabad,Connaught Place,Independent House,2,2745,124.55580191774888,1996,1,0,Semi-Furnished,3,2,19,North,First,Under Construction,Yes,Luxury,Excellent,4537.551982431653,29,183.01333688608779,1
Tamil Nadu,Chennai,Bandra,Apartment,2,1484,344.79598615759255,2014,0,3,Semi-Furnished,0,0,8,North,Second,Under Construction,No,Luxury,Average,23234.230873153138,11,506.61842322929505,0
Delhi,Hyderabad,T Nagar,Penthouse,3,2905,63.743443152223875,2020,4,1,Furnished,2,18,23,North,Second,Ready to move,No,"Gym, Pool",Poor,2194.266545687569,5,93.66003073546727,1
Telangana,Pune,Connaught Place,Independent House,2,2751,90.65718132699632,2021,6,3,Unfurnished,0,14,2,South,Second,Ready to move,Yes,"Gym, Pool",Good,3295.426438640361,4,133.20514188730442,1
Tamil Nadu,Mumbai,Koramangala,Apartment,3,3405,264.2342952756776,2012,9,1,Semi-Furnished,3,24,1,South,Second,Ready to move,Yes,"Gym, Pool",Poor,7760.184883279811,13,388.24686890201485,1
Tamil Nadu,Hyderabad,Koramangala,Villa,3,739,462.50998523678845,2004,8,5,Furnished,1,0,17,South,Second,Ready to move,No,"Gym, Pool, Park",Poor,62585.92493055324,21,679.578907108767,1
Maharashtra,Pune,Connaught Place,Villa,2,2895,432.5924426293347,2018,1,6,Semi-Furnished,3,4,18,East,Third+,Ready to move,Yes,"Gym, Pool",Poor,14942.744132274083,7,635.6202217667749,0
Tamil Nadu,Delhi,T Nagar,Penthouse,3,2259,485.0016523725455,2020,7,0,Furnished,3,19,7,East,First,Under Construction,Yes,"Gym, Pool",Average,21469.749994357924,5,712.6265451253747,0
Gujarat,Pune,Connaught Place,Independent House,3,1725,332.229951333522,2015,6,2,Semi-Furnished,2,10,9,North,Second,Ready to move,Yes,Basic,Good,19259.707323682436,10,488.1547954482417,1
Telangana,Bangalore,T Nagar,Villa,2,3328,344.3911358797242,2023,1,0,Furnished,3,13,23,West,First,Ready to move,Yes,Luxury,Poor,10348.29134253979,2,506.0235653491228,1
Tamil Nadu,Hyderabad,T Nagar,Apartment,2,2987,320.0110394871162,2001,4,3,Semi-Furnished,3,21,3,South,Third+,Ready to move,Yes,"Gym, Pool",Excellent,10713.459641349722,24,470.2012052043735,1
